# nB[fm-3], eps[MeVfm-3], p[MeVfm-3], M*_p[MeV], M*_n[MeV], chempo_p[MeV], chempo_n[MeV], xp[], kF_p[MeV], kF_n[MeV], gamma_fixYp[], dchempo_delta_dYp[MeV]
0.83 1030.733435 324.9621465 168.7171673 168.7171673 1267.688417 1633.368171 0.258966134 365.6793971 519.1571661 1.865110497 -2039.203901
0.835 1038.911053 328.5488806 167.962236 167.962236 1271.030904 1637.676568 0.259460654 366.645308 520.0818224 1.860728389 -2046.686742
0.84 1047.110177 332.145106 167.2161381 167.2161381 1274.363035 1641.970575 0.2599514702 367.6071854 521.0026901 1.856404435 -2054.156908
0.845 1055.330735 335.7507396 166.4787108 166.4787108 1277.684836 1646.250266 0.2604386419 368.5650761 521.9198049 1.852137631 -2061.614587
0.85 1063.572656 339.3656998 165.749795 165.749795 1280.996334 1650.515713 0.2609222267 369.5190258 522.8332023 1.847926993 -2069.059963
0.855 1071.835869 342.9899066 165.0292357 165.0292357 1284.297557 1654.766989 0.261402281 370.4690795 523.7429168 1.843771556 -2076.493218
0.86 1080.120302 346.6232813 164.3168816 164.3168816 1287.588535 1659.004167 0.2618788597 371.415281 524.648983 1.839670373 -2083.914531
0.865 1088.425887 350.2657471 163.6125849 163.6125849 1290.869298 1663.227323 0.2623520164 372.3576736 525.5514347 1.835622515 -2091.324076
0.87 1096.752552 353.9172281 162.9162014 162.9162014 1294.13988 1667.436529 0.2628218034 373.2962995 526.4503051 1.831627071 -2098.722025
0.875 1105.100229 357.5776503 162.2275904 162.2275904 1297.400313 1671.631862 0.2632882717 374.2312003 527.3456273 1.827683148 -2106.108546
0.88 1113.468848 361.2469406 161.5466146 161.5466146 1300.650632 1675.813396 0.2637514713 375.1624166 528.2374336 1.823789869 -2113.483807
0.885 1121.85834 364.9250276 160.8731396 160.8731396 1303.890871 1679.981207 0.2642114508 376.0899883 529.1257562 1.819946377 -2120.847969
0.89 1130.268637 368.6118409 160.2070345 160.2070345 1307.121068 1684.135369 0.2646682578 377.0139547 530.0106264 1.816151827 -2128.201192
0.895 1138.699671 372.3073116 159.5481713 159.5481713 1310.341259 1688.275959 0.2651219386 377.9343541 530.8920756 1.812405395 -2135.543634
0.9 1147.151374 376.0113719 158.8964249 158.8964249 1313.551482 1692.403052 0.2655725387 378.8512244 531.7701344 1.808706269 -2142.875447
0.905 1155.62368 379.7239551 158.2516733 158.2516733 1316.751777 1696.516723 0.2660201025 379.7646026 532.6448331 1.805053657 -2150.196784
0.91 1164.116519 383.444996 157.613797 157.613797 1319.942182 1700.61705 0.2664646731 380.6745249 533.5162017 1.801446777 -2157.507792
0.915 1172.629828 387.1744302 156.9826796 156.9826796 1323.122738 1704.704107 0.2669062931 381.5810273 534.3842695 1.797884868 -2164.808617
0.92 1181.163539 390.9121945 156.3582069 156.3582069 1326.293485 1708.777971 0.2673450037 382.4841447 535.2490658 1.794367179 -2172.099404
0.925 1189.717586 394.658227 155.7402677 155.7402677 1329.454464 1712.838716 0.2677808455 383.3839115 536.1106192 1.790892977 -2179.380291
0.93 1198.291904 398.4124665 155.128753 155.128753 1332.605718 1716.88642 0.268213858 384.2803618 536.9689581 1.787461542 -2186.651417
0.935 1206.886428 402.1748533 154.5235563 154.5235563 1335.747289 1720.921157 0.26864408 385.1735286 537.8241105 1.784072167 -2193.912917
0.94 1215.501094 405.9453283 153.9245737 153.9245737 1338.87922 1724.943002 0.2690715494 386.0634447 538.676104 1.780724161 -2201.164924
0.945 1224.135837 409.7238335 153.3317032 153.3317032 1342.001553 1728.952032 0.2694963031 386.9501421 539.5249657 1.777416844 -2208.407569
