# nB[fm-3], eps[MeVfm-3], p[MeVfm-3], M*_p[MeV], M*_n[MeV], chempo_p[MeV], chempo_n[MeV], xp[], kF_p[MeV], kF_n[MeV], gamma_fixYp[], dchempo_delta_dYp[MeV]
0.77 911.8115777 268.9747459 148.9974304 148.9974304 1252.049484 1533.488732 0.127256713 281.4387841 534.7111222 1.870192769 -1695.312115
0.775 919.48961 272.2445639 148.2515187 148.2515187 1255.62106 1537.721515 0.1273289355 282.099992 535.8512274 1.864710624 -1699.522023
0.78 927.1887662 275.523125 147.5153204 147.5153204 1259.180355 1541.938322 0.1273994078 282.757505 536.9866708 1.859316137 -1703.710731
0.785 934.9089667 278.8103457 146.788635 146.788635 1262.727413 1546.139252 0.1274681781 283.4113783 538.1174979 1.854007409 -1707.878466
0.79 942.6501324 282.1061448 146.0712676 146.0712676 1266.262276 1550.324402 0.1275352932 284.0616655 539.2437539 1.848782589 -1712.025451
0.795 950.4121846 285.4104425 145.3630285 145.3630285 1269.784993 1554.493871 0.1276007983 284.7084194 540.3654829 1.843639875 -1716.151907
0.8 958.1950452 288.7231608 144.6637334 144.6637334 1273.295609 1558.647758 0.127664737 285.3516913 541.4827288 1.838577513 -1720.258052
0.805 965.9986364 292.0442236 143.9732027 143.9732027 1276.794174 1562.786162 0.1277271519 285.9915313 542.5955343 1.833593791 -1724.344103
0.81 973.8228811 295.3735563 143.2912618 143.2912618 1280.280738 1566.909182 0.1277880839 286.6279885 543.7039421 1.828687046 -1728.410274
0.815 981.6677027 298.7110857 142.6177406 142.6177406 1283.755353 1571.016918 0.1278475728 287.2611109 544.8079937 1.823855655 -1732.456777
0.82 989.533025 302.0567403 141.9524739 141.9524739 1287.218071 1575.10947 0.1279056572 287.8909452 545.9077303 1.819098037 -1736.483822
0.825 997.4187723 305.4104502 141.2953003 141.2953003 1290.668947 1579.186936 0.1279623744 288.5175373 547.0031925 1.814412651 -1740.491615
0.83 1005.324869 308.7721467 140.6460631 140.6460631 1294.108034 1583.249417 0.1280177606 289.1409319 548.0944202 1.809797998 -1744.48036
0.835 1013.251242 312.1417627 140.0046094 140.0046094 1297.535388 1587.297011 0.1280718509 289.7611728 549.1814528 1.805252614 -1748.45026
0.84 1021.197815 315.5192325 139.3707904 139.3707904 1300.951066 1591.329818 0.1281246793 290.3783029 550.2643291 1.800775073 -1752.401515
0.845 1029.164515 318.9044914 138.7444611 138.7444611 1304.355124 1595.347937 0.1281762787 290.9923641 551.3430873 1.796363988 -1756.334322
0.85 1037.15127 322.2974763 138.1254802 138.1254802 1307.747621 1599.351466 0.1282266811 291.6033973 552.4177652 1.792018003 -1760.248875
0.855 1045.158006 325.6981253 137.51371 137.51371 1311.128615 1603.340504 0.1282759175 292.2114427 553.4883998 1.787735798 -1764.145367
