# nB[fm-3], eps[MeVfm-3], p[MeVfm-3], M*_p[MeV], M*_n[MeV], chempo_p[MeV], chempo_n[MeV], xp[], kF_p[MeV], kF_n[MeV], gamma_fixYp[], dchempo_delta_dYp[MeV]
0.45 474.9043191 125.5212661 196.4337584 196.4337584 1115.790245 1334.279078 0.1018805423 218.4882356 451.345389 3.043228414 -1416.136803
0.455 481.599262 129.7854032 193.9451545 193.9451545 1124.113676 1343.702561 0.1022905989 219.5882898 452.9419307 3.017146924 -1422.582517
0.46 488.3413876 134.1084229 191.5293067 191.5293067 1132.479305 1353.151762 0.1026839703 220.6718648 454.528608 2.991720643 -1429.011332
0.465 495.1308185 138.4894855 189.1832509 189.1832509 1140.884207 1362.62431 0.1030613691 221.7395135 456.1055579 2.966940289 -1435.420001
0.47 501.9676659 142.927781 186.9041572 186.9041572 1149.325617 1372.117972 0.1034234828 222.7917693 457.6729127 2.942795114 -1441.805634
0.475 508.8520299 147.4225282 184.6893244 184.6893244 1157.80092 1381.630649 0.1037709734 223.8291456 459.2308008 2.919273179 -1448.165672
0.48 515.7840007 151.9729738 182.5361756 182.5361756 1166.307646 1391.160364 0.1041044777 224.8521369 460.7793468 2.896361599 -1454.497856
0.485 522.7636588 156.5783911 180.4422528 180.4422528 1174.843461 1400.705258 0.104424607 225.8612183 462.318672 2.874046753 -1460.800202
0.49 529.7910757 161.2380793 178.4052122 178.4052122 1183.40616 1410.263582 0.1047319478 226.8568464 463.8488946 2.852314464 -1467.070979
0.495 536.8663143 165.9513621 176.4228187 176.4228187 1191.993657 1419.83369 0.1050270617 227.8394595 465.37013 2.831150164 -1473.308683
0.5 543.9894296 170.7175867 174.4929416 174.4929416 1200.603984 1429.414033 0.1053104864 228.8094785 466.8824911 2.810539022 -1479.512019
0.505 551.1604692 175.5361231 172.6135494 172.6135494 1209.235278 1439.003153 0.1055827364 229.767307 468.3860882 2.790466064 -1485.679878
0.51 558.3794735 180.4063625 170.7827052 170.7827052 1217.88578 1448.599678 0.105844303 230.713332 469.8810295 2.770916269 -1491.811327
0.515 565.6464762 185.3277167 168.9985621 168.9985621 1226.553828 1458.202316 0.1060956558 231.6479248 471.3674211 2.751874655 -1497.905581
0.52 572.9615048 190.299617 167.2593591 167.2593591 1235.237847 1467.80985 0.1063372431 232.571441 472.8453668 2.733326345 -1503.961998
0.525 580.3245809 195.3215134 165.5634165 165.5634165 1243.936351 1477.421132 0.1065694926 233.4842218 474.3149689 2.715256629 -1509.980061
0.53 587.7357206 200.3928735 163.9091322 163.9091322 1252.647932 1487.035083 0.1067928125 234.3865941 475.7763277 2.697651008 -1515.959365
0.535 595.1949345 205.5131816 162.2949774 162.2949774 1261.371258 1496.650684 0.107007592 235.2788713 477.2295418 2.680495234 -1521.899607
0.54 602.7022286 210.6819382 160.7194935 160.7194935 1270.105069 1506.266975 0.1072142021 236.1613537 478.6747082 2.663775342 -1527.800575
0.545 610.2576039 215.8986589 159.1812882 159.1812882 1278.848171 1515.883051 0.1074129969 237.0343294 480.1119223 2.647477675 -1533.662137
